select_weapon sel.wav
warp warp.wav
boss_level_start bt1.wav
boss_level_boss_dies bt2.wav
select_weapon select_weapon.wav
throw throw.wav
powerup_healing healing.wav
powerup_protection rune_of_protection.wav
powerup_turret turret.wav
powerup_megablast blast.wav
spawn spawn.wav
potion_shield potion_shield.wav
potion_minor_shield potion_shield.wav
potion_stop potion_stop.wav
potion_fast potion_fast.wav
potion_boost potion_boost.wav
potion_heal potion_heal.wav
potion_instant_heal potion_heal.wav
explosion_1 ex1.wav
explosion_2 ex2.wav
explosion_3 ex3.wav
explosion_4 ex4.wav
explosion_5 ex5.wav
explosion_6 ex6.wav
death_1 die1.wav
death_2 die2.wav
death_3 die3.wav
death_4 die4.wav
death_5 die5.wav
death_6 die6.wav
blood_splash_1 wet_1.wav
blood_splash_2 wet_2.wav
blood_splash_3 wet_3.wav
menu_select menusel.wav
menu_change menuchg.wav
